(x) (t) (teta) (y)
50 45.6999 -49.1467 70.5817
50 45.7999 -49.2699 70.8419
50 45.8999 -49.3932 71.1054
50 45.9999 -49.5164 71.3659
50 46.0999 -49.6397 71.6149
50 46.1999 -49.7629 71.842
50 46.2999 -49.8862 72.0361
50 46.3999 -50.0094 72.1861
50 46.4999 -50.1327 72.2823
50 46.5999 -50.2559 72.3185
50 46.6999 -50.3792 72.292
50 46.7999 -50.5024 72.2047
50 46.8999 -50.6256 72.0626
50 46.9999 -50.7489 71.8747
50 47.0999 -50.8721 71.6519
50 47.1999 -50.9954 71.4056
50 47.2999 -51.1186 71.1463
50 47.3998 -51.2419 70.8827
50 47.4998 -51.3651 70.6217
50 47.5998 -51.4884 70.3678
50 47.6998 -51.6116 70.1243
50 47.7998 -51.7349 69.893
50 47.8998 -51.8581 69.6754
50 47.9998 -51.9814 69.4725
50 48.0998 -52.1046 69.2851
50 48.1998 -52.2279 69.114
50 48.2998 -52.3511 68.9595
50 48.3998 -52.4744 68.8217
50 48.4998 -52.5976 68.7004
50 48.5998 -52.7209 68.5954
50 48.6998 -52.8441 68.5067
50 48.7998 -52.9673 68.4345
50 48.8998 -53.0906 68.3792
50 48.9998 -53.2138 68.3414
50 49.0998 -53.3371 68.3217
50 49.1998 -53.4603 68.3204
50 49.2998 -53.5836 68.3376
50 49.3998 -53.7068 68.373
50 49.4998 -53.8301 68.426
50 49.5998 -53.9533 68.4959
50 49.6998 -54.0766 68.5824
50 49.7998 -54.1998 68.6852
50 49.8998 -54.3231 68.8042
50 49.9998 -54.4463 68.9398
50 50.0998 -54.5696 69.0921
50 50.1998 -54.6928 69.261
50 50.2998 -54.8161 69.4461
50 50.3998 -54.9393 69.6469
50 50.4998 -55.0626 69.8626
50 50.5998 -55.1858 70.0921
50 50.6998 -55.309 70.3341
50 50.7998 -55.4323 70.5867
50 50.8998 -55.5555 70.847
50 50.9998 -55.6788 71.1106
50 51.0998 -55.802 71.3709
50 51.1998 -55.9253 71.6196
50 51.2998 -56.0485 71.8462
50 51.3998 -56.1718 72.0396
50 51.4998 -56.295 72.1885
50 51.5998 -56.4183 72.2836
50 51.6998 -56.5415 72.3186
50 51.7998 -56.6648 72.2909
50 51.8998 -56.788 72.2024
50 51.9998 -56.9113 72.0593
50 52.0998 -57.0345 71.8706
50 52.1998 -57.1578 71.6472
50 52.2998 -57.281 71.4006
50 52.3998 -57.4043 71.1411
50 52.4998 -57.5275 70.8775
50 52.5998 -57.6507 70.6166
50 52.6998 -57.774 70.3629
50 52.7998 -57.8972 70.1196
50 52.8998 -58.0205 69.8885
50 52.9998 -58.1437 69.6712
50 53.0998 -58.267 69.4686
50 53.1998 -58.3902 69.2816
50 53.2998 -58.5135 69.1108
50 53.3998 -58.6367 68.9566
50 53.4998 -58.76 68.8191
50 53.5998 -58.8832 68.6981
50 53.6998 -59.0065 68.5935
50 53.7998 -59.1297 68.5051
50 53.8997 -59.253 68.4332
50 53.9997 -59.3762 68.3783
50 54.0997 -59.4995 68.3408
50 54.1997 -59.6227 68.3215
50 54.2997 -59.746 68.3206
50 54.3997 -59.8692 68.3382
50 54.4997 -59.9924 68.3739
50 54.5997 -60.1157 68.4272
50 54.6997 -60.2389 68.4975
50 54.7997 -60.3622 68.5843
50 54.8997 -60.4854 68.6873
50 54.9997 -60.6087 68.8068
50 55.0997 -60.7319 68.9427
50 55.1997 -60.8552 69.0953
50 55.2997 -60.9784 69.2645
50 55.3997 -61.1017 69.4499
50 55.4997 -61.2249 69.6511
50 55.5997 -61.3482 69.867
50 55.6997 -61.4714 70.0968
50 55.7997 -61.5947 70.339
50 55.8997 -61.7179 70.5918
50 55.9997 -61.8412 70.8522
50 56.0997 -61.9644 71.1158
50 56.1997 -62.0877 71.376
50 56.2997 -62.2109 71.6243
50 56.3997 -62.3342 71.8504
50 56.4997 -62.4574 72.043
50 56.5997 -62.5806 72.1909
50 56.6997 -62.7039 72.2849
50 56.7997 -62.8271 72.3186
50 56.8997 -62.9504 72.2897
50 56.9997 -63.0736 72.2001
50 57.0997 -63.1969 72.056
50 57.1997 -63.3201 71.8665
50 57.2997 -63.4434 71.6425
50 57.3997 -63.5666 71.3955
50 57.4997 -63.6899 71.1359
50 57.5997 -63.8131 70.8724
50 57.6997 -63.9364 70.6115
50 57.7997 -64.0596 70.358
50 57.8997 -64.1829 70.1149
50 57.9997 -64.3061 69.8841
50 58.0997 -64.4294 69.6671
50 58.1997 -64.5526 69.4648
50 58.2997 -64.6758 69.2781
50 58.3997 -64.7991 69.1076
50 58.4997 -64.9223 68.9538
50 58.5997 -65.0456 68.8166
50 58.6997 -65.1688 68.6959
50 58.7997 -65.2921 68.5916
50 58.8997 -65.4153 68.5035
50 58.9997 -65.5386 68.432
50 59.0997 -65.6618 68.3773
50 59.1997 -65.7851 68.3403
50 59.2997 -65.9083 68.3213
50 59.3997 -66.0316 68.3207
50 59.4997 -66.1548 68.3387
50 59.5997 -66.2781 68.3748
50 59.6997 -66.4013 68.4284
50 59.7997 -66.5246 68.499
50 59.8997 -66.6478 68.5861
50 59.9997 -66.7711 68.6895
50 60.0997 -66.8943 68.8093
50 60.1997 -67.0176 68.9455
50 60.2997 -67.1408 69.0985
